Year,City,NOC,Country,GwCodes,MappingStatus,MappingReason,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,TotalMedalsAwarded,GoldMedalsAwarded,TotalMedalShare,GoldMedalShare,ParticipationStatus,BoycottBy
1952,Helsinki,DEN,Denmark,390,mapped,,2.0,1.0,3.0,6.0,457,149,0.01312910284463895,0.013422818791946308,participated,
1952,Helsinki,EGY,Egypt,651,mapped,,0.0,0.0,1.0,1.0,457,149,0.002188183807439825,0.0,participated,
1952,Helsinki,ESP,Spain,230,mapped,,0.0,1.0,0.0,1.0,457,149,0.002188183807439825,0.0,participated,
1952,Helsinki,FIN,Finland,375,mapped,,6.0,3.0,13.0,22.0,457,149,0.04814004376367615,0.040268456375838924,participated,
1952,Helsinki,FRA,France,220,mapped,,6.0,6.0,6.0,18.0,457,149,0.03938730853391685,0.040268456375838924,participated,
1952,Helsinki,GBR,Great Britain,200,mapped,,1.0,2.0,8.0,11.0,457,149,0.024070021881838075,0.006711409395973154,participated,
1952,Helsinki,GER,Germany,260,mapped,,0.0,7.0,17.0,24.0,457,149,0.0525164113785558,0.0,participated,
1952,Helsinki,GHA,Ghana,452,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,GRE,Greece,350,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,GUA,Guatemala,90,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,GUY,Guyana,110,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,HKG,Hong Kong,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,HUN,Hungary,310,mapped,,16.0,10.0,16.0,42.0,457,149,0.09190371991247265,0.10738255033557047,participated,
1952,Helsinki,INA,Indonesia,850,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,IND,India,750,mapped,,1.0,0.0,1.0,2.0,457,149,0.00437636761487965,0.006711409395973154,participated,
1952,Helsinki,IRI,Iran,630,mapped,,0.0,3.0,4.0,7.0,457,149,0.015317286652078774,0.0,participated,
1952,Helsinki,IRL,Ireland,205,mapped,,0.0,1.0,0.0,1.0,457,149,0.002188183807439825,0.0,participated,
1952,Helsinki,ISL,Iceland,395,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,ISR,Israel,666,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,ITA,Italy,325,mapped,,8.0,9.0,4.0,21.0,457,149,0.045951859956236324,0.053691275167785234,participated,
1952,Helsinki,JAM,Jamaica,51,mapped,,2.0,3.0,0.0,5.0,457,149,0.010940919037199124,0.013422818791946308,participated,
1952,Helsinki,JPN,Japan,740,mapped,,1.0,6.0,1.0,8.0,457,149,0.0175054704595186,0.006711409395973154,participated,
1952,Helsinki,KOR,South Korea,732,mapped,,0.0,0.0,2.0,2.0,457,149,0.00437636761487965,0.0,participated,
1952,Helsinki,LIB,Lebanon,660,mapped,,0.0,1.0,1.0,2.0,457,149,0.00437636761487965,0.0,participated,
1952,Helsinki,LIE,Liechtenstein,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,LUX,Luxembourg,212,mapped,,1.0,0.0,0.0,1.0,457,149,0.002188183807439825,0.006711409395973154,participated,
1952,Helsinki,MEX,Mexico,70,mapped,,0.0,1.0,0.0,1.0,457,149,0.002188183807439825,0.0,participated,
1952,Helsinki,MON,Monaco,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,MYA,Myanmar,775,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,NED,Netherlands,210,mapped,,0.0,5.0,0.0,5.0,457,149,0.010940919037199124,0.0,participated,
1952,Helsinki,NGR,Nigeria,475,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,NOR,Norway,385,mapped,,3.0,2.0,0.0,5.0,457,149,0.010940919037199124,0.020134228187919462,participated,
1952,Helsinki,NZL,New Zealand,920,mapped,,1.0,0.0,2.0,3.0,457,149,0.006564551422319475,0.006711409395973154,participated,
1952,Helsinki,PAK,Pakistan,770,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,PAN,Panama,95,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,PHI,Philippines,840,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,POL,Poland,290,mapped,,1.0,2.0,1.0,4.0,457,149,0.0087527352297593,0.006711409395973154,participated,
1952,Helsinki,POR,Portugal,235,mapped,,0.0,0.0,1.0,1.0,457,149,0.002188183807439825,0.0,participated,
1952,Helsinki,PUR,Puerto Rico,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,ROU,Romania,360,mapped,,1.0,1.0,2.0,4.0,457,149,0.0087527352297593,0.006711409395973154,participated,
1952,Helsinki,RSA,South Africa,560,mapped,,2.0,4.0,4.0,10.0,457,149,0.02188183807439825,0.013422818791946308,participated,
1952,Helsinki,SAA,Saar,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,SGP,Singapore,830,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,SRI,Sri Lanka,780,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,SUI,Switzerland,225,mapped,,2.0,6.0,6.0,14.0,457,149,0.030634573304157548,0.013422818791946308,participated,
1952,Helsinki,SWE,Sweden,380,mapped,,12.0,13.0,10.0,35.0,457,149,0.07658643326039387,0.08053691275167785,participated,
1952,Helsinki,TCH,Czechoslovakia,315,mapped,,7.0,3.0,3.0,13.0,457,149,0.028446389496717725,0.04697986577181208,participated,
1952,Helsinki,THA,Thailand,800,mapped,,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,TTO,Trinidad and Tobago,52,mapped,,0.0,0.0,2.0,2.0,457,149,0.00437636761487965,0.0,participated,
1952,Helsinki,TUR,Turkey,640,mapped,,2.0,0.0,1.0,3.0,457,149,0.006564551422319475,0.013422818791946308,participated,
1952,Helsinki,URS,Soviet Union,365,mapped,,22.0,29.0,19.0,70.0,457,149,0.15317286652078774,0.1476510067114094,participated,
1952,Helsinki,URU,Uruguay,165,mapped,,0.0,0.0,2.0,2.0,457,149,0.00437636761487965,0.0,participated,
1952,Helsinki,USA,United States,2,mapped,,40.0,19.0,17.0,76.0,457,149,0.16630196936542668,0.2684563758389262,participated,
1952,Helsinki,VEN,Venezuela,101,mapped,,0.0,0.0,1.0,1.0,457,149,0.002188183807439825,0.0,participated,
1952,Helsinki,VNM,South Vietnam,,excluded_no_cshapes_geometry,South Vietnam has no corresponding sovereign CShapes/Gleditsch-Ward geometry in the 1952 snapshot.,0.0,0.0,0.0,0.0,457,149,0.0,0.0,participated,
1952,Helsinki,YUG,Yugoslavia,345,mapped,,1.0,2.0,0.0,3.0,457,149,0.006564551422319475,0.006711409395973154,participated,
1956,Melbourne,AFG,Afghanistan,700,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,ARG,Argentina,160,mapped,,0.0,1.0,1.0,2.0,467,153,0.004282655246252677,0.0,participated,
1956,Melbourne / Stockholm,AUS,Australia,900,mapped,,13.0,8.0,14.0,35.0,467,153,0.07494646680942184,0.08496732026143791,participated,
1956,Melbourne / Stockholm,AUT,Austria,305,mapped,,0.0,0.0,2.0,2.0,467,153,0.004282655246252677,0.0,participated,
1956,Melbourne,BAH,Bahamas,31,mapped,,0.0,0.0,1.0,1.0,467,153,0.0021413276231263384,0.0,participated,
1956,Melbourne / Stockholm,BEL,Belgium,211,mapped,,0.0,2.0,0.0,2.0,467,153,0.004282655246252677,0.0,participated,
1956,Melbourne,BER,Bermuda,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,BRA,Brazil,140,mapped,,1.0,0.0,0.0,1.0,467,153,0.0021413276231263384,0.006535947712418301,participated,
1956,Melbourne / Stockholm,BUL,Bulgaria,355,mapped,,1.0,3.0,1.0,5.0,467,153,0.010706638115631691,0.006535947712418301,participated,
1956,Stockholm,CAM,Cambodia,811,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,CAN,Canada,20,mapped,,2.0,1.0,3.0,6.0,467,153,0.01284796573875803,0.013071895424836602,participated,
1956,Melbourne,CHI,Chile,155,mapped,,0.0,2.0,2.0,4.0,467,153,0.008565310492505354,0.0,participated,
1956,Melbourne,COL,Colombia,100,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,CUB,Cuba,40,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Stockholm / Melbourne,DEN,Denmark,390,mapped,,1.0,2.0,1.0,4.0,467,153,0.008565310492505354,0.006535947712418301,participated,
1956,Stockholm,EGY,Egypt,651,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Stockholm,ESP,Spain,230,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,ETH,Ethiopia,530,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,FIJ,Fiji,950,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Stockholm / Melbourne,FIN,Finland,375,mapped,,3.0,1.0,11.0,15.0,467,153,0.032119914346895075,0.0196078431372549,participated,
1956,Melbourne / Stockholm,FRA,France,220,mapped,,4.0,4.0,6.0,14.0,467,153,0.029978586723768737,0.026143790849673203,participated,
1956,Melbourne / Stockholm,GBR,Great Britain,200,mapped,,6.0,7.0,11.0,24.0,467,153,0.05139186295503212,0.0392156862745098,participated,
1956,Melbourne / Stockholm,GER,United Team of Germany,260;265,mapped,,6.0,13.0,7.0,26.0,467,153,0.055674518201284794,0.0392156862745098,participated,
1956,Melbourne,GRE,Greece,350,mapped,,0.0,0.0,1.0,1.0,467,153,0.0021413276231263384,0.0,participated,
1956,Melbourne,GUY,Guyana,110,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,HKG,Hong Kong,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,HUN,Hungary,310,mapped,,9.0,10.0,7.0,26.0,467,153,0.055674518201284794,0.058823529411764705,participated,
1956,Melbourne,INA,Indonesia,850,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,IND,India,750,mapped,,1.0,0.0,0.0,1.0,467,153,0.0021413276231263384,0.006535947712418301,participated,
1956,Melbourne,IRI,Iran,630,mapped,,2.0,2.0,1.0,5.0,467,153,0.010706638115631691,0.013071895424836602,participated,
1956,Stockholm / Melbourne,IRL,Ireland,205,mapped,,1.0,1.0,3.0,5.0,467,153,0.010706638115631691,0.006535947712418301,participated,
1956,Melbourne,ISL,Iceland,395,mapped,,0.0,1.0,0.0,1.0,467,153,0.0021413276231263384,0.0,participated,
1956,Melbourne,ISR,Israel,666,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,ITA,Italy,325,mapped,,8.0,8.0,9.0,25.0,467,153,0.05353319057815846,0.05228758169934641,participated,
1956,Melbourne,JAM,Jamaica,51,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,JPN,Japan,740,mapped,,4.0,10.0,3.0,17.0,467,153,0.03640256959314775,0.026143790849673203,participated,
1956,Melbourne,KEN,Kenya,501,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,KOR,South Korea,732,mapped,,0.0,1.0,1.0,2.0,467,153,0.004282655246252677,0.0,participated,
1956,Melbourne,LBR,Liberia,450,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,LUX,Luxembourg,212,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,MAL,Malaya,820,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,MEX,Mexico,70,mapped,,1.0,0.0,1.0,2.0,467,153,0.004282655246252677,0.006535947712418301,participated,
1956,Melbourne,MYA,Myanmar,775,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,NBO,North Borneo,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Stockholm,NED,Netherlands,210,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,NGR,Nigeria,475,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,NOR,Norway,385,mapped,,1.0,0.0,2.0,3.0,467,153,0.006423982869379015,0.006535947712418301,participated,
1956,Melbourne,NZL,New Zealand,920,mapped,,2.0,0.0,0.0,2.0,467,153,0.004282655246252677,0.013071895424836602,participated,
1956,Melbourne,PAK,Pakistan,770,mapped,,0.0,1.0,0.0,1.0,467,153,0.0021413276231263384,0.0,participated,
1956,Melbourne,PER,Peru,135,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,PHI,Philippines,840,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,POL,Poland,290,mapped,,1.0,4.0,4.0,9.0,467,153,0.019271948608137045,0.006535947712418301,participated,
1956,Stockholm / Melbourne,POR,Portugal,235,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,PUR,Puerto Rico,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,ROU,Romania,360,mapped,,5.0,3.0,5.0,13.0,467,153,0.027837259100642397,0.032679738562091505,participated,
1956,Melbourne,RSA,South Africa,560,mapped,,0.0,0.0,4.0,4.0,467,153,0.008565310492505354,0.0,participated,
1956,Melbourne,SGP,Singapore,830,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,SRI,Sri Lanka,780,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Stockholm,SUI,Switzerland,225,mapped,,0.0,0.0,1.0,1.0,467,153,0.0021413276231263384,0.0,participated,
1956,Melbourne / Stockholm,SWE,Sweden,380,mapped,,8.0,5.0,6.0,19.0,467,153,0.04068522483940043,0.05228758169934641,participated,
1956,Melbourne,TCH,Czechoslovakia,315,mapped,,1.0,4.0,1.0,6.0,467,153,0.01284796573875803,0.006535947712418301,participated,
1956,Melbourne,THA,Thailand,800,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,TPE,Chinese Taipei,713,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,TTO,Trinidad and Tobago,52,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,TUR,Turkey,640,mapped,,3.0,2.0,2.0,7.0,467,153,0.014989293361884369,0.0196078431372549,participated,
1956,Melbourne,UGA,Uganda,500,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne / Stockholm,URS,Soviet Union,365,mapped,,37.0,29.0,32.0,98.0,467,153,0.20985010706638116,0.24183006535947713,participated,
1956,Melbourne,URU,Uruguay,165,mapped,,0.0,0.0,1.0,1.0,467,153,0.0021413276231263384,0.0,participated,
1956,Melbourne / Stockholm,USA,United States,2,mapped,,32.0,25.0,17.0,74.0,467,153,0.15845824411134904,0.20915032679738563,participated,
1956,Melbourne / Stockholm,VEN,Venezuela,101,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,VNM,South Vietnam,817,mapped,,0.0,0.0,0.0,0.0,467,153,0.0,0.0,participated,
1956,Melbourne,YUG,Yugoslavia,345,mapped,,0.0,3.0,0.0,3.0,467,153,0.006423982869379015,0.0,participated,
1960,Roma,AFG,Afghanistan,700,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,AHO,Netherlands Antilles,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,ARG,Argentina,160,mapped,,0.0,1.0,1.0,2.0,461,152,0.004338394793926247,0.0,participated,
1960,Roma,AUS,Australia,900,mapped,,8.0,8.0,6.0,22.0,461,152,0.04772234273318872,0.05263157894736842,participated,
1960,Roma,AUT,Austria,305,mapped,,1.0,1.0,0.0,2.0,461,152,0.004338394793926247,0.006578947368421052,participated,
1960,Roma,BAH,Bahamas,31,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,BEL,Belgium,211,mapped,,0.0,2.0,2.0,4.0,461,152,0.008676789587852495,0.0,participated,
1960,Roma,BER,Bermuda,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,BRA,Brazil,140,mapped,,0.0,0.0,2.0,2.0,461,152,0.004338394793926247,0.0,participated,
1960,Roma,BUL,Bulgaria,355,mapped,,1.0,3.0,3.0,7.0,461,152,0.015184381778741865,0.006578947368421052,participated,
1960,Roma,CAN,Canada,20,mapped,,0.0,1.0,0.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,CHI,Chile,155,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,COL,Colombia,100,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,CUB,Cuba,40,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,DEN,Denmark,390,mapped,,2.0,3.0,1.0,6.0,461,152,0.013015184381778741,0.013157894736842105,participated,
1960,Roma,ESP,Spain,230,mapped,,0.0,0.0,1.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,ETH,Ethiopia,530,mapped,,1.0,0.0,0.0,1.0,461,152,0.0021691973969631237,0.006578947368421052,participated,
1960,Roma,FIJ,Fiji,950,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,FIN,Finland,375,mapped,,1.0,1.0,3.0,5.0,461,152,0.010845986984815618,0.006578947368421052,participated,
1960,Roma,FRA,France,220,mapped,,0.0,2.0,3.0,5.0,461,152,0.010845986984815618,0.0,participated,
1960,Roma,GBR,Great Britain,200,mapped,,2.0,6.0,12.0,20.0,461,152,0.04338394793926247,0.013157894736842105,participated,
1960,Roma,GER,United Team of Germany,260;265,mapped,,12.0,19.0,11.0,42.0,461,152,0.0911062906724512,0.07894736842105263,participated,
1960,Roma,GHA,Ghana,452,mapped,,0.0,1.0,0.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,GRE,Greece,350,mapped,,1.0,0.0,0.0,1.0,461,152,0.0021691973969631237,0.006578947368421052,participated,
1960,Roma,GUY,Guyana,110,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,HAI,Haiti,41,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,HKG,Hong Kong,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,HUN,Hungary,310,mapped,,6.0,8.0,7.0,21.0,461,152,0.0455531453362256,0.039473684210526314,participated,
1960,Roma,INA,Indonesia,850,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,IND,India,750,mapped,,0.0,1.0,0.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,IRI,Iran,630,mapped,,0.0,1.0,3.0,4.0,461,152,0.008676789587852495,0.0,participated,
1960,Roma,IRL,Ireland,205,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,IRQ,Iraq,645,mapped,,0.0,0.0,1.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,ISL,Iceland,395,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,ISR,Israel,666,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,ITA,Italy,325,mapped,,13.0,10.0,13.0,36.0,461,152,0.07809110629067245,0.08552631578947369,participated,
1960,Roma,JPN,Japan,740,mapped,,4.0,7.0,7.0,18.0,461,152,0.039045553145336226,0.02631578947368421,participated,
1960,Roma,KEN,Kenya,501,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,KOR,South Korea,732,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,LBR,Liberia,450,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,LIB,Lebanon,660,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,LIE,Liechtenstein,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,LUX,Luxembourg,212,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,MAL,Malaya,820,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,MAR,Morocco,600,mapped,,0.0,1.0,0.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,MEX,Mexico,70,mapped,,0.0,0.0,1.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,MLT,Malta,338,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,MON,Monaco,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,MYA,Myanmar,775,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,NED,Netherlands,210,mapped,,0.0,1.0,2.0,3.0,461,152,0.006507592190889371,0.0,participated,
1960,Roma,NGR,Nigeria,475,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,NOR,Norway,385,mapped,,1.0,0.0,0.0,1.0,461,152,0.0021691973969631237,0.006578947368421052,participated,
1960,Roma,NZL,New Zealand,920,mapped,,2.0,0.0,1.0,3.0,461,152,0.006507592190889371,0.013157894736842105,participated,
1960,Roma,PAK,Pakistan,770,mapped,,1.0,0.0,1.0,2.0,461,152,0.004338394793926247,0.006578947368421052,participated,
1960,Roma,PAN,Panama,95,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,PER,Peru,135,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,PHI,Philippines,840,mapped,,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,POL,Poland,290,mapped,,4.0,6.0,11.0,21.0,461,152,0.0455531453362256,0.02631578947368421,participated,
1960,Roma,POR,Portugal,235,mapped,,0.0,1.0,0.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,PUR,Puerto Rico,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,RHO,Rhodesia,,excluded_no_cshapes_geometry,The 1960 Rhodesian Olympic delegation has no corresponding sovereign geometry in the adopted CShapes snapshot.,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
1960,Roma,ROU,Romania,360,mapped,,3.0,1.0,6.0,10.0,461,152,0.021691973969631236,0.019736842105263157,participated,
1960,Roma,RSA,South Africa,560,mapped,,0.0,1.0,2.0,3.0,461,152,0.006507592190889371,0.0,participated,
1960,Roma,SGP,Singapore,830,mapped,,0.0,1.0,0.0,1.0,461,152,0.0021691973969631237,0.0,participated,
1960,Roma,SMR,San Marino,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.,0.0,0.0,0.0,0.0,461,152,0.0,0.0,participated,
